name,winery,year,rating,num_ratings,price,type,region
Pomerol 2011,Château La Providence,2011,4.2,100,95.0,Red,pomerol
Lirac 2017,Château Mont-Redon,2017,4.3,100,15.5,Red,lirac
Erta e China Rosso di Toscana 2015,Renzo Masi,2015,3.9,100,7.45,Red,toscana
Bardolino 2019,Cavalchina,2019,3.5,100,8.72,Red,bardolino
Ried Scheibner Pinot Noir 2016,Markowitsch,2016,3.9,100,29.15,Red,carnuntum
Gigondas (Nobles Terrasses) 2017,Vieux Clocher,2017,3.7,100,19.9,Red,gigondas
Marion's Vineyard Pinot Noir 2016,Schubert,2016,4.0,100,43.87,Red,wairarapa
Red Blend 2014,Viña La Causa,2014,3.9,100,17.52,Red,itata valley
Chianti 2015,Castello Montaùto,2015,3.6,100,10.75,Red,chianti
Tradition 2014,Domaine des Aires Hautes,2014,3.5,100,6.9,Red,minervois
Chianti Riserva 2013,Poggiotondo,2013,3.9,100,20.95,Red,chianti
Descendant 2016,Torbreck,2016,4.3,100,140.64,Red,barossa
Les Obriers de la Peira Terrasses du Larzac 2017,La Pèira en Damaisèla,2017,4.1,100,14.52,Red,terrasses du larzac
Zenas Primitivo 2018,La Bollina,2018,3.6,100,9.26,Red,puglia
Cuvée Confidence Côtes du Rhône Rouge 2017,Domaine Fond Croze,2017,3.7,100,8.49,Red,cotes-du-rhone
Shiraz 2018,Barramundi,2018,3.2,100,6.5,Red,south eastern australia
Proprietor's Blend 2016,Ernie Els,2016,4.2,100,29.09,Red,stellenbosch
La Bienquerida 2016,Losada,2016,4.3,100,41.58,Red,bierzo
Cabernet Sauvignon 2015,Hacienda,2015,3.8,100,7.95,Red,california
Fulgeo Negroamaro Salento 2016,San Donaci,2016,4.0,100,12.9,Red,salento
Contraste Tinto 2015,Conceito,2015,3.4,100,9.9,Red,douro
Steiner 2013,Weninger,2013,3.7,100,24.5,Red,sopron
Old Vines Primitivo 2015,Azienda Agricola Morella,2015,4.2,100,38.7,Red,puglia
Virtus Tannat 2013,Monte Paschoal,2013,2.9,100,6.77,Red,serra gaucha
