name,winery,year,rating,num_ratings,price,type,region
Walking Tree Cabernet Sauvignon 2013,Geyser Peak,2013,3.7,156,21.0,Red,Alexander Valley
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2014,Château Cheval Blanc,2014,4.5,156,592.4,Red,Saint-Émilion Grand Cru
Sito Moresco Langhe 2016,Gaja,2016,4.1,1561,41.9,Red,Langhe
Pinot Noir 2015,Kim Crawford,2015,3.6,1565,15.9,Red,South Island
Rouge (Gaston Hochar) 2002,Château Musar,2002,4.2,1566,35.04,Red,Bekaa Valley
Lytton Springs 2016,Ridge Vineyards,2016,4.2,1568,41.85,Red,Dry Creek Valley
Malbec Estate 2017,Colomé,2017,4.0,1568,15.03,Red,Calchaqui Valley
Nobile di Montepulciano 2015,Salcheto,2015,3.9,1569,17.3,Red,Vino Nobile di Montepulciano
Pinot Noir 2016,Heitlinger,2016,3.7,157,12.49,Red,Baden
Castel Firmian Nerofino 2016,Mezzacorona,2016,3.8,157,6.95,Red,Trentino
Cartagho 2017,Mandrarossa,2017,3.7,157,13.47,Red,Terre Siciliane
Saint-Émilion Grand Cru 2016,Château Pindefleurs,2016,4.2,157,30.95,Red,Saint-Émilion Grand Cru
Reserva Cabernet Sauvignon 2018,Caliterra,2018,3.4,157,6.99,Red,Colchagua Valley
Moulis-en-Médoc 2015,Château Dutruch Grand Poujeaux,2015,3.7,157,24.63,Red,Moulis-en-Médoc
Castro Ventosa El Castro de Valtuille 2015,Raúl Pérez,2015,3.7,157,17.9,Red,Bierzo
Crianza 2016,Bodegas José L. Ferrer,2016,3.6,157,10.49,Red,Binissalem-Mallorca
Taita Marchigüe Vineyard Cabernet Sauvignon 2011,Montes,2011,4.6,157,239.0,Red,Colchagua Valley
Villa Gresti 2014,San Leonardo,2014,3.9,157,25.5,Red,Vigneti delle Dolomiti
Cabernet Sauvignon 2012,Anthonij Rupert,2012,4.3,157,59.95,Red,Franschhoek
Médoc 2012,Château La Cardonne,2012,3.7,157,20.5,Red,Médoc
Cabernet Sauvignon 2014,Alto Estate,2014,4.1,157,17.75,Red,Stellenbosch
Pinot Noir 2018,La Chevalière,2018,3.6,157,7.89,Red,Pays d'Oc
Merlot (Carménère - Syrah) 2016,Trio,2016,3.7,1570,11.47,Red,Rapel Valley
6th Sense Syrah 2013,Michael David Winery,2013,3.9,1571,14.82,Red,Lodi
Reserva 2014,Hacienda López de Haro,2014,3.7,1573,12.79,Red,Rioja
Saint-Estèphe (Grand Cru Classé) 2007,Château Montrose,2007,4.2,1574,109.0,Red,Saint-Estèphe
Saint-Estèphe (Grand Cru Classé) 2005,Château Montrose,2005,4.4,1578,174.95,Red,Saint-Estèphe
Director's Cut Zinfandel 2014,Francis Ford Coppola,2014,4.0,1578,33.25,Red,Dry Creek Valley
Gevrey-Chambertin 2013,Louis Latour,2013,4.1,158,51.55,Red,Gevrey-Chambertin
Antu Cabernet Sauvignon - Carmenère 2018,MontGras,2018,4.0,158,11.9,Red,Colchagua Valley
Sassabruna Maremma Toscana 2017,Rocca di Montemassi,2017,3.8,158,12.5,Red,Maremma Toscana
